val/bongard_hoi/accuracy,train/bongard_hoi/accuracy_epoch,loss/best_ckpt,wandb_urls,experiment_nm,test_nm,based_on/slurm_id,max_epoch,finetuned_from_slurm_id,finetuned_from_wandb_id,lr,img_size,batch_size,model/auxiliary_loss_ratio,model/class,relation-model/class,val/loss,slurm_ids,val/bongard_hoi/mse_loss,train/bongard_hoi/mse_loss_epoch,train/vasr/accuracy_epoch,val/vasr/accuracy,val/vasr/mse_loss,train/vasr/mse_loss_epoch,test/bongard_hoi_seen-seen/accuracy,test/bongard_hoi_unseen-seen/accuracy,test/bongard_hoi_unseen-unseen/accuracy,test/bongard_hoi_seen-unseen/accuracy,test/vasr/accuracy,test/vasr/mse_loss,train/bongard_logo/accuracy_epoch,val/bongard_logo/accuracy,val/vaec/accuracy,train/vaec/accuracy_epoch,test/bongard_logo_test_ff/accuracy,test/bongard_logo_test_hd_novel/accuracy,test/bongard_logo_test_bd/accuracy,test/bongard_logo_test_hd_comb/accuracy,test/vaec_test2/accuracy,test/vaec_test1/accuracy,test/vaec_test4/accuracy,test/vaec_test3/accuracy,test/vaec/accuracy,test/vaec_test5/accuracy,test/bongard_logo_test_hd_novel/mse_loss,test/bongard_logo_test_ff/mse_loss,test/bongard_logo_test_bd/mse_loss,val/bongard_logo/mse_loss,train/bongard_logo/mse_loss_epoch,test/bongard_logo_test_hd_comb/mse_loss,val/vaec/mse_loss,test/vaec_test3/mse_loss,train/vaec/mse_loss_epoch,test/vaec_test1/mse_loss,test/vaec_test5/mse_loss,test/vaec_test4/mse_loss,test/vaec_test2/mse_loss,test/bongard_hoi_unseen-unseen_vit/accuracy,test/bongard_hoi_seen-seen_vit/accuracy,test/bongard_hoi_unseen-seen_vit/accuracy,train/bongard_hoi_vit/accuracy_epoch,val/bongard_hoi_vit/accuracy,test/bongard_hoi_seen-unseen_vit/accuracy,test/bongard_logo_test_bd_vit/accuracy,test/bongard_logo_test_ff_vit/accuracy,train/bongard_logo_vit/accuracy_epoch,val/bongard_logo_vit/accuracy,train/vasr_vit/accuracy_epoch,test/vasr_vit/accuracy,val/vasr_vit/accuracy,train/vaec_vit/accuracy_epoch,test/vaec_test5_vit/accuracy,test/vaec_test1_vit/accuracy,test/vaec_test2_vit/accuracy,test/vaec_test3_vit/accuracy,test/vaec_test4_vit/accuracy,val/vaec_vit/accuracy,test/bongard_logo_test_hd_comb_vit_2/accuracy,test/bongard_logo_test_hd_novel_vit_2/accuracy,test/bongard_logo_test_ff_vit_2/accuracy,test/bongard_logo_test_bd_vit_2/accuracy,test/bongard_hoi_unseen-seen_vit_2/accuracy,test/bongard_hoi_seen-unseen_vit_2/accuracy,test/vaec_test3_vit_2/accuracy,test/vaec_test4_vit_2/accuracy,test/vaec_test5_vit_2/accuracy,test/vaec_test1_vit_2/accuracy,test/vaec_test2_vit_2/accuracy,test/bongard_logo_test_hd_novel_vit_2/accuracy_bongard_hoi,test/bongard_logo_test_ff_vit_2/accuracy_bongard_hoi,test/bongard_hoi_unseen-seen_vit_2/accuracy_bongard_hoi,test/bongard_logo_test_bd_vit_2/accuracy_bongard_hoi,test/bongard_hoi_unseen-unseen_vit_2/accuracy_bongard_hoi,test/bongard_hoi_seen-unseen_vit_2/accuracy_bongard_hoi,test/bongard_hoi_seen-seen_vit_2/accuracy_bongard_hoi,test/bongard_logo_test_hd_comb_vit_2/accuracy_bongard_hoi,train/bongard_hoi_vit/accuracy_bongard_hoi_epoch,val/bongard_hoi_vit/accuracy_bongard_hoi,val/vasr_vit/accuracy_vasr,train/vasr_vit/accuracy_vasr_epoch,train/vasr_captions/accuracy_epoch,val/vasr_captions/accuracy,test/vasr_captions/accuracy,test/vasr_vit/accuracy_vasr,test/bongard_hoi_seen-seen_vit_2/accuracy,val/bongard_hoi_captions/accuracy,test/bongard_hoi_unseen-unseen_captions/accuracy,train/bongard_hoi_captions/accuracy_epoch,test/bongard_hoi_seen-unseen_captions/accuracy,test/bongard_hoi_unseen-seen_captions/accuracy,test/bongard_hoi_seen-seen_captions/accuracy,test/bongard_hoi_unseen-unseen_vit/accuracy_bongard_hoi,train/bongard_logo_vit/accuracy_bongard_logo_epoch,test/bongard_logo_test_bd_vit_2/accuracy_bongard_logo,val/bongard_logo_vit/accuracy_bongard_logo,test/bongard_logo_test_hd_novel_vit_2/accuracy_bongard_logo,test/bongard_logo_test_ff_vit_2/accuracy_bongard_logo,test/bongard_logo_test_hd_comb_vit_2/accuracy_bongard_logo,test/vaec_test2_vit_2/accuracy_vaec,test/vaec_test1_vit_2/accuracy_vaec,test/vaec_test5_vit_2/accuracy_vaec,test/vaec_test4_vit_2/accuracy_vaec,val/vaec_vit/accuracy_vaec,test/vaec_test3_vit_2/accuracy_vaec,train/vaec_vit/accuracy_vaec_epoch,test/svrt_vit_2/accuracy_svrt,val/svrt_vit_2/accuracy_svrt,train/svrt_vit_2/accuracy_svrt_epoch,train/iraven_vit_2/accuracy_iraven_epoch,val/iraven_vit_2/accuracy_iraven,test/iraven_vit_2/accuracy_iraven,test/bongard_logo_test_hd_novel_vit_2/accuracy_vasr,test/bongard_logo_test_bd_vit_2/accuracy_vasr,test/bongard_logo_test_ff_vit_2/accuracy_vasr,test/bongard_logo_test_hd_comb_vit_2/accuracy_vasr,test/bongard_logo_test_hd_novel_vit_2/accuracy_vaec,test/bongard_logo_test_bd_vit_2/accuracy_vaec,test/bongard_logo_test_hd_comb_vit_2/accuracy_vaec,test/bongard_logo_test_ff_vit_2/accuracy_vaec,test/vaec_test2_vit_2/accuracy_vasr,test/vaec_test3_vit_2/accuracy_vasr,test/vaec_test4_vit_2/accuracy_vasr,test/vaec_test5_vit_2/accuracy_vasr,test/vaec_test1_vit_2/accuracy_vasr,test/bongard_hoi_seen-unseen_vit_2/accuracy_bongard_logo,test/bongard_hoi_unseen-seen_vit_2/accuracy_bongard_logo,test/bongard_hoi_unseen-unseen_vit_2/accuracy_bongard_logo,test/bongard_hoi_seen-seen_vit_2/accuracy_bongard_logo,test/vasr_vit/accuracy_vaec
,,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/850854/epoch=2-step=72252.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/pknv6zyz,https://wandb.ai/avr_universal/AVR_universal/runs/tis009p4,https://wandb.ai/avr_universal/AVR_universal/runs/w41wrwvb,https://wandb.ai/avr_universal/AVR_universal/runs/tyis8hk2",vasr_scoring,frozen_slot,835822.0,11,,,0.0001,128,16,,model.models.scoring_model_v1.ScoringModel,,1.358184814453125,"850853,850854,850855,850856",,,0.4556478261947632,0.2889944911003113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6105232238769531,0.7892452478408813,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/870733/epoch=17-step=25938.ckpt,https://wandb.ai/avr_universal/AVR_universal/runs/spt6lazo,bongard_hoi_scoring,frozen_slot,870726.0,117,,,0.0001,128,16,0.0,model.models.scoring_model_v1.ScoringModel,,0.6827223300933838,"870733,870734,870735,870736",,,,,,,0.5013405084609985,0.5201665759086609,0.5136476159095764,0.6116681694984436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5937683582305908,0.7579532265663147,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/870574/epoch=43-step=126764.ckpt,https://wandb.ai/avr_universal/AVR_universal/runs/r5zc0gwk,bongard_hoi_scoring,frozen_slot,850798.0,43,,,0.0001,128,8,0.0,model.models.scoring_model_v1.ScoringModel,,0.677776575088501,"870571,870572,870573,870574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/870737/epoch=0-step=6021.ckpt,https://wandb.ai/avr_universal/AVR_universal/runs/amjbw2zs,vasr_scoring,frozen_slot,870731.0,9,,,0.0001,128,32,0.0,model.models.scoring_model_v1.ScoringModel,,1.3878519535064697,"870737,870738,870739,870740",,,0.45433729887008667,0.35113638639450073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/870579/epoch=0-step=12042.ckpt,https://wandb.ai/avr_universal/AVR_universal/runs/6uj5k79v,vasr_scoring,frozen_slot,850828.0,3,,,0.0001,128,16,0.0,model.models.scoring_model_v1.ScoringModel,,1.4029988050460815,"870579,870580,870581,870582",,,0.4024406671524048,0.2713586688041687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6019988059997559,0.8217959403991699,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/870741/epoch=8-step=12969.ckpt,https://wandb.ai/avr_universal/AVR_universal/runs/1rgymp1s,bongard_hoi_scoring_full_train,trained_slot_aux_test,870726.0,29,,,0.0001,128,16,0.1,model.models.scoring_model_v1.ScoringModel,,0.6825698614120483,"870741,870742,870743",0.05294140800833702,0.04105113819241524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/870744/epoch=0-step=12042.ckpt,https://wandb.ai/avr_universal/AVR_universal/runs/ri5roagd,vasr_scoring_full_train,trained_slot_aux_test,870731.0,5,,,0.0001,128,32,0.1,model.models.scoring_model_v1.ScoringModel,,1.5814785957336426,"870744,870745,870746",,,0.7774953842163086,0.2698749899864197,0.0333259291946888,0.03481936827301979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6155202984809875,0.8283928632736206,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/870747/epoch=17-step=25938.ckpt,https://wandb.ai/avr_universal/AVR_universal/runs/3jxx86rp,bongard_hoi_scoring_full_train,trained_slot_aux_test,870726.0,38,,,0.0001,128,16,1.0,model.models.scoring_model_v1.ScoringModel,,0.703572154045105,"870747,870748,870749",0.036438338458538055,0.03386196494102478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/870750/epoch=0-step=12042.ckpt,https://wandb.ai/avr_universal/AVR_universal/runs/g82pphsm,vasr_scoring_full_train,trained_slot_aux_test,870731.0,5,,,0.0001,128,32,1.0,model.models.scoring_model_v1.ScoringModel,,1.7353674173355103,"870750,870751,870752",,,0.8059816956520081,0.2848597466945648,0.02769278548657894,0.028083888813853264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5640799403190613,0.8273512721061707,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/870753/epoch=0-step=1441.ckpt,https://wandb.ai/avr_universal/AVR_universal/runs/snflkztk,bongard_hoi_scoring_full_train,trained_slot_aux_test,870726.0,22,,,0.0001,128,16,10.0,model.models.scoring_model_v1.ScoringModel,,0.9238999485969543,"870753,870754,870755",0.023061860352754593,0.02568248100578785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
